date,gross_return,cost,net_return,turnover,n_positions,n_long,n_short,net_exposure,gross_exposure
2021-01-14,0.0035874677635740608,5.5555555555555565e-05,0.003531912208018505,0.055555555555555566,108,54,54,-6.938893903907228e-18,1.0
2021-01-15,0.009036165473982562,4.62962962962963e-05,0.008989869177686266,0.0462962962962963,108,54,54,-1.3877787807814457e-17,1.0000000000000002
2021-01-18,-0.008144876261412198,2.7777777777777782e-05,-0.008172654039189976,0.027777777777777783,108,54,54,0.0,1.0
2021-01-19,0.01598288924437742,6.481481481481483e-05,0.015918074429562605,0.06481481481481483,108,54,54,-3.469446951953614e-18,1.0
2021-01-20,0.014237644583396311,5.5555555555555565e-05,0.014182089027840756,0.055555555555555566,108,54,54,-6.938893903907228e-18,1.0
2021-01-21,0.01574437699318655,5.5555555555555565e-05,0.015688821437630996,0.055555555555555566,108,54,54,0.0,1.0
2021-01-22,0.005457387309393559,3.703703703703705e-05,0.005420350272356522,0.03703703703703705,108,54,54,-1.3877787807814457e-17,1.0
2021-01-25,-0.00845066608944597,5.5555555555555565e-05,-0.008506221645001526,0.055555555555555566,108,54,54,-2.7755575615628914e-17,1.0
2021-01-26,-0.0034834817888739524,4.629629629629631e-05,-0.003529778085170249,0.04629629629629631,108,54,54,0.0,1.0
2021-01-27,-0.002309407737866918,5.5555555555555565e-05,-0.0023649632934224737,0.055555555555555566,108,54,54,-6.938893903907228e-18,1.0
2021-01-28,-0.013770365181349675,4.629629629629631e-05,-0.01381666147764597,0.04629629629629631,108,54,54,0.0,1.0
2021-01-29,0.007283655137030016,5.9680134680134725e-05,0.007223975002349881,0.05968013468013472,108,53,55,-0.00925925925925919,0.9907407407407408
2021-02-01,0.011378984858376639,6.414141414141414e-05,0.011314843444235225,0.06414141414141414,108,53,55,-0.009259259259259175,0.9907407407407407
2021-02-02,-0.0005102387142900964,3.6868686868686874e-05,-0.0005471074011587832,0.03686868686868687,108,53,55,-0.009259259259259162,0.9907407407407407
2021-02-03,0.002416413750058187,2.28956228956229e-05,0.002393518127162564,0.0228956228956229,107,53,54,-0.00016835016835008154,0.9816498316498318
2021-02-04,-0.026117763208136763,1.8350168350168352e-05,-0.02613611337648693,0.018350168350168353,107,53,54,-0.00016835016835009542,0.9816498316498317
2021-02-05,0.01292656411716205,5.050505050505055e-05,0.012876059066657,0.05050505050505055,107,53,54,-0.009259259259259259,0.9907407407407408
2021-02-08,0.018777918041918716,7.407407407407409e-05,0.018703843967844642,0.07407407407407408,107,53,54,-0.009259259259259259,0.9907407407407408
2021-02-09,0.01649491409611446,4.629629629629631e-05,0.016448617799818162,0.04629629629629631,107,53,54,-0.009259259259259273,0.9907407407407408
2021-02-10,-0.0023205278352842734,7.340067340067345e-05,-0.0023939285086849466,0.07340067340067345,108,53,55,-0.009259259259259182,0.9907407407407409
2021-02-18,0.001707072362303171,5.505050505050506e-05,0.001652021857252666,0.05505050505050506,108,53,55,-0.009259259259259175,0.9907407407407409
2021-02-19,-0.017703261315611438,8.173400673400677e-05,-0.017784995322345443,0.08173400673400677,109,54,55,-0.009090909090909087,0.990909090909091
2021-02-22,0.0021363490793673227,6.363636363636363e-05,0.002072712715730959,0.06363636363636363,109,54,55,-0.009090909090909087,0.990909090909091
2021-02-23,-0.0028828480387188835,3.6363636363636364e-05,-0.00291921167508252,0.03636363636363636,109,54,55,-0.00909090909090908,0.990909090909091
2021-02-24,-0.029378104942574833,6.363636363636363e-05,-0.029441741306211196,0.06363636363636363,109,54,55,-0.00909090909090908,0.990909090909091
2021-02-25,0.006678288256116847,4.545454545454546e-05,0.006632833710662301,0.045454545454545456,109,54,55,-0.009090909090909087,0.990909090909091
2021-02-26,0.01855956320883899,3.6363636363636364e-05,0.018523199572475352,0.03636363636363636,109,54,55,-0.009090909090909073,0.990909090909091
2021-03-01,-0.007527643450084479,3.6363636363636364e-05,-0.007564007086448115,0.03636363636363636,109,54,55,-0.009090909090909094,0.990909090909091
2021-03-02,-0.0024768838277881454,5.000000000000004e-05,-0.0025268838277881455,0.050000000000000044,109,54,55,8.326672684688674e-17,1.0
2021-03-03,-0.03543933875559388,5.505050505050506e-05,-0.03549438926064438,0.05505050505050506,109,54,55,8.326672684688674e-17,1.0
2021-03-04,0.013791221883525776,6.464646464646465e-05,0.013726575418879311,0.06464646464646465,109,54,55,9.71445146547012e-17,1.0
2021-03-05,-0.028538317313296733,3.6700336700336704e-05,-0.02857501764999707,0.036700336700336705,109,54,55,9.71445146547012e-17,1.0
2021-03-08,8.538997825038744e-05,6.464646464646465e-05,2.0743513603922793e-05,0.06464646464646465,109,54,55,6.938893903907228e-17,1.0
2021-03-09,0.005712175722976799,4.595959595959597e-05,0.005666216127017203,0.045959595959595964,109,54,55,1.1102230246251565e-16,1.0
2021-03-10,0.024008604049118726,5.505050505050506e-05,0.02395355354406822,0.05505050505050506,109,54,55,5.551115123125783e-17,1.0
2021-03-11,-0.009063842665614198,2.744107744107744e-05,-0.009091283743055276,0.02744107744107744,109,54,55,8.326672684688674e-17,1.0
2021-03-12,-0.009366438361120725,6.430976430976432e-05,-0.00943074812543049,0.06430976430976432,109,54,55,8.326672684688674e-17,1.0
2021-03-15,-0.0030949224859274987,5.5050505050505056e-05,-0.0031499729909780037,0.05505050505050505,109,54,55,8.326672684688674e-17,1.0
