date,gross_return,cost,net_return,turnover,n_positions,n_long,n_short,net_exposure,gross_exposure
2019-01-02,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-03,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-04,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-07,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-08,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-09,0.001523287871393997,0.00048437500000000005,0.001038912871393997,0.48437500000000006,94,45,49,-0.031249999999999983,0.9687500000000001
2019-01-10,0.002107708885006261,0.0003772321428571429,0.0017304767421491179,0.3772321428571429,95,46,49,-0.030612244897959162,0.9693877551020407
2019-01-11,-0.000538078907869156,0.00035204081632653065,-0.0008901197241956867,0.3520408163265306,96,47,49,-0.020408163265306124,0.9795918367346939
2019-01-14,-0.007767660663109098,0.00036734693877551024,-0.008135007601884608,0.3673469387755102,96,47,49,-0.020408163265306107,0.9795918367346939
2019-01-15,0.0027953222257197986,0.00025510204081632655,0.002540220184903472,0.25510204081632654,96,47,49,-0.020408163265306124,0.9795918367346939
2019-01-16,0.010651043606157259,0.0002602040816326531,0.010390839524524605,0.2602040816326531,97,48,49,-0.010204081632653059,0.9897959183673468
2019-01-17,0.007660852270982807,0.00036734693877551024,0.007293505332207296,0.3673469387755102,97,48,49,-0.010204081632653055,0.9897959183673468
2019-01-18,0.0053795885845403565,0.0003010204081632654,0.005078568176377091,0.30102040816326536,96,47,49,-0.020408163265306117,0.9795918367346939
2019-01-21,0.005014884995643195,0.00033673469387755106,0.0046781503017656444,0.33673469387755106,96,47,49,-0.020408163265306117,0.9795918367346939
2019-01-22,-0.0004097315400755771,0.00039795918367346937,-0.0008076907237490465,0.3979591836734694,98,49,49,1.3877787807814457e-17,0.9999999999999999
2019-01-23,-0.003801721638046152,0.0003112244897959183,-0.00411294612784207,0.3112244897959183,97,49,48,0.010204081632653059,0.9897959183673468
2019-01-24,-0.004807735087605917,0.0003316326530612245,-0.005139367740667141,0.3316326530612245,98,49,49,3.469446951953614e-18,1.0
2019-01-25,-0.0028246603680852464,0.0003214285714285714,-0.003146088939513818,0.3214285714285714,97,49,48,0.010204081632653059,0.989795918367347
2019-01-28,-0.012011635112533225,0.0003520408163265307,-0.012363675928859756,0.35204081632653067,96,49,47,0.02040816326530613,0.9795918367346937
2019-01-29,0.0007687918438220617,0.00036734693877551024,0.00040144490504655147,0.3673469387755102,98,49,49,-1.3877787807814457e-17,1.0
2019-01-30,-0.014218971966193466,0.0002653061224489796,-0.014484278088642446,0.2653061224489796,98,49,49,-1.3877787807814457e-17,0.9999999999999999
2019-01-31,0.021878153832086362,0.00031122448979591837,0.021566929342290445,0.3112244897959184,97,49,48,0.010204081632653073,0.9897959183673468
2019-02-01,0.004905627210024386,0.0003163265306122449,0.004589300679412141,0.3163265306122449,97,48,49,-0.010204081632653052,0.9897959183673468
2019-02-11,-0.0036994509919312905,0.00044387755102040814,-0.004143328542951698,0.44387755102040816,96,47,49,-0.02040816326530609,0.9795918367346939
