date,gross_return,cost,net_return,turnover,n_positions,n_long,n_short,net_exposure,gross_exposure
2019-01-02,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-03,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-04,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-07,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-08,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-09,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-10,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-11,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-14,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-16,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-17,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-18,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-21,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-22,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-23,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-24,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-25,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-28,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-29,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-30,0.01166003353136413,0.000489795918367347,0.011170237612996783,0.48979591836734704,95,48,47,0.020408163265306138,0.9795918367346941
2019-01-31,-0.00396238277900299,0.00015816326530612246,-0.004120546044309113,0.15816326530612246,97,49,48,0.010204081632653059,0.9897959183673468
2019-02-01,0.002391788816479273,0.0001326530612244898,0.002259135755254783,0.1326530612244898,97,49,48,0.010204081632653062,0.9897959183673468
2019-02-11,-0.0020247643628049598,0.00014285714285714284,-0.0021676215056621027,0.14285714285714285,97,49,48,0.010204081632653062,0.9897959183673468
2019-02-12,-0.006499657461693928,0.00012244897959183676,-0.006622106441285765,0.12244897959183675,97,49,48,0.010204081632653059,0.9897959183673468
2019-02-13,0.0023448591917403423,0.0001479591836734694,0.002196900008066873,0.14795918367346939,96,49,47,0.020408163265306124,0.9795918367346939
2019-02-14,-0.0005974070440538379,0.00017346938775510208,-0.00077087643180894,0.17346938775510207,96,49,47,0.02040816326530613,0.9795918367346939
2019-02-15,0.01234191111057998,0.0001326530612244898,0.01220925804935549,0.1326530612244898,96,49,47,0.02040816326530613,0.9795918367346939
2019-02-18,-0.004943361241724808,0.000163265306122449,-0.005106626547847257,0.163265306122449,95,48,47,0.010204081632653073,0.9693877551020408
2019-02-19,0.005341598184863558,0.00018877551020408161,0.005152822674659476,0.18877551020408162,96,49,47,0.020408163265306117,0.9795918367346939
2019-02-20,0.0018802547449023681,0.0001326530612244898,0.0017476016836778783,0.1326530612244898,96,49,47,0.020408163265306145,0.9795918367346939
