date,ic
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-07,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-14,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-21,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-28,
2019-01-29,-0.1996487789185794
2019-01-30,0.34969708563540625
2019-01-31,-0.2953193583015474
2019-02-01,-0.09173078259797307
2019-02-11,-0.15867388398075183
2019-02-12,-0.3526333665786285
2019-02-13,0.21652039139933418
2019-02-14,-0.2112697636871343
2019-02-15,0.44284770713131677
2019-02-18,-0.24960942508515097
2019-02-19,0.07802026138446651
2019-02-20,0.13325790024968703
2019-02-21,0.37260407488148967
2019-02-22,-0.011395410345316291
2019-02-25,0.029439543095487516
2019-02-26,-0.14559090712144698
2019-02-27,-0.08517970420126016
2019-02-28,0.35904165378098973
2019-03-01,-0.1499085438116063
2019-03-04,0.23668476090958385
2019-03-05,0.2962489124131516
2019-03-06,-0.19764630368177105
2019-03-07,-0.09271778561501198
2019-03-08,-0.07458756036240645
2019-03-11,0.11935650005145806
2019-03-12,-0.4618545700202286
2019-03-13,-0.16758141643262273
2019-03-14,-0.1953162885203545
2019-03-15,-0.01107113384754929
2019-03-18,0.1023689419949442
2019-03-19,-0.09041642805974165
2019-03-20,-0.13396984836678907
2019-03-21,-0.0779312906423926
2019-03-22,0.15373749300368988
2019-03-25,0.04088645275733391
2019-03-26,0.21863945749861993
2019-03-27,-0.10175558605399673
2019-03-28,-0.14739472836213582
2019-03-29,-0.1668252031918988
2019-04-01,-0.023935900191485615
2019-04-02,0.14327866040225046
2019-04-03,0.28132231409225944
2019-04-04,0.04422710642492853
2019-04-08,-0.30193456553146325
2019-04-09,0.05312030991299191
2019-04-10,-0.26240011459771917
2019-04-11,0.12071179522761413
2019-04-12,-0.2993783299792509
2019-04-15,0.04576463489807718
2019-04-16,0.20275362528971372
2019-04-17,-0.1760939837524527
2019-04-18,0.1471814741830867
2019-04-19,-0.2570074822846478
2019-04-22,-0.04828960102506335
2019-04-23,-0.0992020810647642
2019-04-24,-0.1452379011982887
2019-04-25,-0.04101556295330364
2019-04-26,0.04208933433757601
2019-04-29,-0.051560514888958436
2019-04-30,0.19215809894255848
2019-05-06,0.055963443854495504
2019-05-07,-0.2614882384549329
2019-05-08,-0.25309324496420527
2019-05-09,-0.06902109631391597
2019-05-10,0.25996589976827245
2019-05-13,-0.2316384151949786
2019-05-14,-0.0006153935831449762
2019-05-15,-0.12165924355203397
2019-05-16,0.40064864191911337
2019-05-17,0.13870433004684093
2019-05-20,-0.2488212146067038
2019-05-21,0.20018526776822207
2019-05-22,0.09694308697841053
2019-05-23,-0.12919672623180534
2019-05-24,-0.11629139143777469
2019-05-27,0.05766634473073339
2019-05-28,-0.07383704282806887
2019-05-29,0.0024361598689453174
2019-05-30,-0.05414359616946049
2019-05-31,-0.0520669496055349
2019-06-03,0.06724324188793641
2019-06-04,0.10597729534366733
2019-06-05,0.08485451901141697
2019-06-06,-0.2581345375021166
2019-06-10,-0.44216580639631714
2019-06-11,0.2773314330142397
2019-06-12,-0.15437902602569892
2019-06-13,0.1253502559554924
2019-06-14,0.23347287238915737
2019-06-17,-0.3062969769286613
2019-06-18,-0.07389369979579319
2019-06-19,-0.14135154796020696
2019-06-20,-0.1732042772137812
2019-06-21,0.20793987812077577
2019-06-24,0.11424766098468608
2019-06-25,0.00012336229663169213
2019-06-26,0.16958503616175358
2019-06-27,0.1669938339065468
2019-06-28,-0.11279811062186951
2019-07-01,0.01322379137807114
2019-07-02,-0.31375734585480886
2019-07-03,-0.22849002858272766
2019-07-04,0.05639361258879175
2019-07-05,0.2389317217989778
2019-07-08,0.08116752930741676
2019-07-09,0.013844127066416762
2019-07-10,0.19352055240206958
2019-07-11,-0.29326548207599124
2019-07-12,0.1040978626911901
2019-07-15,-0.06133924157487044
2019-07-16,-0.10304284926967809
2019-07-17,0.07637863045076404
2019-07-18,-0.11816747268301393
2019-07-19,0.1560666165483361
2019-07-22,0.14578841324957634
2019-07-23,-0.004822150395067863
2019-07-24,0.16518037392386942
2019-07-25,-0.005905779452265205
2019-07-26,0.16078270963825464
2019-07-29,-0.18296504004921765
2019-07-30,0.26593613292710033
2019-07-31,-0.007383074747843923
2019-08-01,0.29307615545797333
2019-08-02,-0.05212517526757507
2019-08-05,0.35350430055349
2019-08-06,-0.07243007476737487
2019-08-07,0.07418914261545988
2019-08-08,0.09019426768773345
2019-08-09,0.08987007197972999
2019-08-12,-0.14694139057264247
2019-08-13,0.1264394659988074
2019-08-14,-0.168084625651425
2019-08-15,-0.10908591001743045
2019-08-16,-0.27040388245032027
2019-08-19,0.033846566631049194
2019-08-20,0.0017890269891955325
2019-08-21,0.012393327723226018
2019-08-22,0.15302813127171544
2019-08-23,0.1001508133689313
2019-08-26,-0.09658797832273613
2019-08-27,0.010710935517257911
2019-08-28,0.21876321089965084
2019-08-29,-0.004110341368074082
2019-08-30,0.15935063324222104
2019-09-02,0.10329395100446105
2019-09-03,-0.04604138876059832
2019-09-04,-0.17560788305196867
2019-09-05,-0.034160143174615805
2019-09-06,0.17013332396038625
2019-09-09,-0.20514112706607998
2019-09-10,-0.16565763374368928
2019-09-11,-0.1076152916154834
2019-09-12,-0.06437573838012495
2019-09-16,-0.18816867813169236
2019-09-17,-0.21377755118790878
2019-09-18,0.10135349573645831
2019-09-19,0.02718079503191517
2019-09-20,0.31066775596143464
2019-09-23,-0.07367386239234686
2019-09-24,-0.16872170018810265
2019-09-25,-0.20541571861355265
2019-09-26,0.07244049905537048
2019-09-27,-0.10721731775262823
2019-09-30,-0.08606038954128258
2019-10-08,-0.2687895396440591
2019-10-09,0.06879412100475202
2019-10-10,0.1899706651483272
2019-10-11,-0.07115176083828904
2019-10-14,0.24043907373942452
2019-10-15,0.08698456715520517
2019-10-16,0.08515432601047095
2019-10-17,0.038014266109122376
2019-10-18,0.11488418292046813
2019-10-21,-0.21196363530297943
2019-10-22,-0.1579020583725824
2019-10-23,0.09528005699612094
2019-10-24,-0.19941383030191695
2019-10-25,-0.2751576908296795
2019-10-28,0.2790315486568382
2019-10-29,0.060361192019046744
2019-10-30,-0.0485604956116695
2019-10-31,0.021972760218524196
2019-11-01,-0.015941407976590875
2019-11-04,0.14751353265386613
2019-11-05,-0.06998233415175623
2019-11-06,0.0592754603246723
2019-11-07,0.09870916552306257
2019-11-08,0.1481935947980329
2019-11-11,-0.06641363464993472
2019-11-12,0.2816087898148694
2019-11-13,0.11742463413880073
2019-11-14,0.29555483873619903
2019-11-15,-0.1140016117530813
2019-11-18,-0.1486342691088043
2019-11-19,0.1338978430092602
2019-11-20,-0.08808663465579061
2019-11-21,-0.4891132246635236
2019-11-22,-0.3992551685005983
2019-11-25,0.1890295807860681
2019-11-26,0.034066418533210484
2019-11-27,-0.07875653800769972
2019-11-28,-0.04336826395415014
2019-11-29,-0.004038682131225259
2019-12-02,-0.005232527478605682
2019-12-03,-0.06054278897152604
2019-12-04,-0.0002557118189407298
2019-12-05,0.03156523245810561
2019-12-06,0.05006860434623975
2019-12-09,0.08345424678805093
2019-12-10,-0.24350339081276517
2019-12-11,0.21636649247734438
2019-12-12,0.05318600963980933
2019-12-13,0.29166950621168186
2019-12-16,-0.167819352145304
2019-12-17,-0.09999654035638739
2019-12-18,-0.07638822475177663
2019-12-19,-0.18855642794449057
2019-12-20,0.058977209195553874
2019-12-23,0.07496824861246085
2019-12-24,0.11176747268934241
2019-12-25,0.32564734305250126
2019-12-26,-0.15886581013929657
2019-12-27,0.0006924733800428243
2019-12-30,0.0313189619731411
2019-12-31,0.0006081979376290625
2020-01-02,0.00528006805845337
2020-01-03,-0.029716088114398728
2020-01-06,0.23283104718575995
2020-01-07,-0.1524477415823971
2020-01-08,-0.24205129085923635
2020-01-09,-0.10548165805730014
2020-01-10,0.10210632779976292
2020-01-13,-0.10656330062863574
2020-01-14,0.06634389357244512
2020-01-15,0.22700669615493566
2020-01-16,0.2306871551534599
2020-01-17,0.04445511310235416
2020-01-20,0.14255343686681013
2020-01-21,0.3939418342337932
2020-01-22,0.2541605485932822
2020-01-23,-0.11392136751463
2020-02-03,0.14707599902697802
2020-02-04,-0.2338719267058378
2020-02-05,0.3172955273108938
2020-02-06,0.1371022120887748
2020-02-07,-0.47791005673950077
2020-02-10,-0.3562674873759461
2020-02-11,0.14722199396504834
2020-02-12,0.10552981071485497
2020-02-13,-0.08983823427650155
2020-02-14,-0.17983541237940026
2020-02-17,0.13855250922487233
2020-02-18,-0.1786005518290329
2020-02-19,-0.1937127726779774
2020-02-20,0.12229354022380247
2020-02-21,0.33967325297158374
2020-02-24,0.2672229025071664
2020-02-25,-0.22487893053257052
2020-02-26,-0.4728910115381496
2020-02-27,0.24120136353365135
2020-02-28,0.15904761719838173
2020-03-02,-0.2504873637385624
2020-03-03,0.1995837480014937
2020-03-04,-0.19306713152864105
2020-03-05,-0.17772592406347465
2020-03-06,0.03888646777039713
2020-03-09,-0.03714911352216865
2020-03-10,0.10464256375037649
2020-03-11,0.12054439683589155
2020-03-12,-0.22258250842414834
2020-03-13,0.4069687248725456
2020-03-16,0.09406849040758222
2020-03-17,0.2230295774874205
2020-03-18,-0.24378537232897332
2020-03-19,0.32915961148980954
2020-03-20,-0.1787872126827742
2020-03-23,-0.4676525987975745
2020-03-24,-0.23056674109637706
2020-03-25,-0.005106202646308952
2020-03-26,0.2839891866418381
2020-03-27,-0.10228136890979884
2020-03-30,-0.2585153455704716
2020-03-31,0.014007896280138689
2020-04-01,-0.3778736106274339
2020-04-02,-0.10236398026418018
2020-04-03,-0.25436739397422914
2020-04-07,-0.11772403419121559
2020-04-08,0.18974464241867317
2020-04-09,0.10870870916175035
2020-04-10,-0.2533245379750503
2020-04-13,-0.24467059085264226
2020-04-14,0.014687846827699597
2020-04-15,0.2346439555730543
2020-04-16,0.07505064536298564
2020-04-17,-0.2692877588666653
2020-04-20,-0.2383416323186278
2020-04-21,-0.11503772812321668
2020-04-22,-0.16054471051704572
2020-04-23,-0.022768174572116037
2020-04-24,0.08556249191730882
2020-04-27,0.1935213955576549
2020-04-28,0.17699964154717007
2020-04-29,-0.30279715995320755
2020-04-30,-0.10541493233612424
2020-05-06,-0.03304351980816631
2020-05-07,-0.2482082994452366
2020-05-08,-0.03401653755663602
2020-05-11,0.29720693661540876
2020-05-12,0.09424881647985485
2020-05-13,0.03322827777754447
2020-05-14,0.2195904680991092
2020-05-15,-0.25012125738164176
2020-05-18,0.30577153660953954
2020-05-19,-0.24206779508760012
2020-05-20,-0.24318568408634572
2020-05-21,-0.11292110874463457
2020-05-22,0.06798923210974141
2020-05-25,0.1584117220062699
2020-05-26,0.03474774915775398
2020-05-27,0.018798639214706727
2020-05-28,0.07594230251617119
2020-05-29,-0.01572827740886699
2020-06-01,-0.14808045103571196
2020-06-02,-0.14649337180861632
2020-06-03,-0.09283631990937515
2020-06-04,0.2925796545952746
2020-06-05,-0.07754908245852962
2020-06-08,-0.21439337990284726
2020-06-09,0.24944534882515373
2020-06-10,-0.21542376857584994
2020-06-11,0.2534100316919222
2020-06-12,0.0639154238120465
2020-06-15,0.0383651103472675
2020-06-16,-0.16071368945646936
2020-06-17,-0.13616502609272116
2020-06-18,0.09242454316577786
2020-06-19,-0.044615359045671814
2020-06-22,0.25356031419292124
2020-06-23,-0.2941281068351342
2020-06-24,-0.1465872527341713
2020-06-29,0.2759733663020426
2020-06-30,-0.35267088712320416
2020-07-01,-0.1100328612296719
2020-07-02,-0.20795238944767963
2020-07-03,-0.1942290290075228
2020-07-06,-0.04855876606996522
2020-07-07,0.07718759903690915
2020-07-08,0.06684299911718737
2020-07-09,-0.06740020583800882
2020-07-10,0.06325053460646987
2020-07-13,0.22550899021957488
2020-07-14,-0.4781609275112693
2020-07-15,-0.339480672698357
2020-07-16,0.13428827940867552
2020-07-17,0.21335521810201835
2020-07-20,0.0069129399100914465
2020-07-21,0.14608015346678546
2020-07-22,0.4986705452594386
