date,gross_return,cost,net_return,turnover,n_positions,n_long,n_short,net_exposure,gross_exposure
2019-01-02,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-03,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-04,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-07,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-08,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-09,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-10,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-11,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-14,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-16,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-17,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-18,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-21,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-22,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-23,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-24,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-25,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-28,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-01-29,-0.003844389999378268,0.0005,-0.004344389999378268,0.5,96,48,48,3.469446951953614e-18,1.0
2019-01-30,0.013753108412021497,9.2687074829932e-05,0.013660421337191565,0.09268707482993199,97,48,49,2.7755575615628914e-17,0.9999999999999999
2019-01-31,-0.010880249573073413,7.206632653061225e-05,-0.010952315899604026,0.07206632653061225,97,48,49,2.7755575615628914e-17,1.0
2019-02-01,-0.003428125445571614,5.144557823129252e-05,-0.0034795710238029066,0.05144557823129252,97,48,49,3.469446951953614e-17,1.0
2019-02-11,-0.004714776367786443,8.227040816326531e-05,-0.004797046775949708,0.08227040816326531,97,48,49,2.7755575615628914e-17,0.9999999999999999
2019-02-12,-0.012264335869507884,8.758503401360546e-05,-0.01235192090352149,0.08758503401360546,96,48,48,0.01020408163265309,0.989795918367347
2019-02-13,0.004376933868387993,0.00014285714285714287,0.0042340767255308505,0.14285714285714288,97,49,48,0.010204081632653073,0.989795918367347
2019-02-14,-0.008276640964829137,0.00015816326530612246,-0.008434804230135259,0.15816326530612246,96,49,47,0.020408163265306117,0.9795918367346939
2019-02-15,0.022430061571767565,0.00010204081632653062,0.022328020755441033,0.10204081632653061,96,49,47,0.020408163265306117,0.9795918367346939
2019-02-18,-0.0064747074460680225,0.00017346938775510208,-0.006648176833823125,0.17346938775510207,95,48,47,0.010204081632653128,0.9693877551020409
2019-02-19,0.004075726428288882,0.00010714285714285715,0.003968583571146025,0.10714285714285715,96,49,47,0.020408163265306173,0.9795918367346939
2019-02-20,0.006376071079002718,9.183673469387757e-05,0.006284234344308841,0.09183673469387757,95,48,47,0.020408163265306117,0.979591836734694
